team_name,team_code,team_founded,team_logo,venue_name,venue_address,venue_city,venue_capacity,venue_image,team_age
BARCELONA,BAR,1899.0,https://media.api-sports.io/football/teams/529.png,Estadi Olímpic Lluís Companys,Carrer de l&apos;Estadi,Barcelona,55926.0,https://media.api-sports.io/football/venues/19939.png,126.0
ATLETICO MADRID,MAD,1903.0,https://media.api-sports.io/football/teams/530.png,Estádio Cívitas Metropolitano,Rosas,Madrid,70460.0,https://media.api-sports.io/football/venues/19217.png,122.0
ATHLETIC CLUB,BIL,1898.0,https://media.api-sports.io/football/teams/531.png,San Mamés Barria,Rafael Moreno Pitxitxi Kalea,Bilbao,53289.0,https://media.api-sports.io/football/venues/1460.png,127.0
VALENCIA,VAL,1919.0,https://media.api-sports.io/football/teams/532.png,Estadio de Mestalla,Avenida de Suecia,Valencia,55000.0,https://media.api-sports.io/football/venues/1497.png,106.0
VILLARREAL,VIL,1923.0,https://media.api-sports.io/football/teams/533.png,Estadio de la Cerámica,Plaza Labrador,Villarreal,24500.0,https://media.api-sports.io/football/venues/1498.png,102.0
LAS PALMAS,PAL,1949.0,https://media.api-sports.io/football/teams/534.png,Estadio de Gran Canaria,Avenida Pío XII 29,Las Palmas de Gran Canaria,32392.0,https://media.api-sports.io/football/venues/1481.png,76.0
MALAGA,MAL,1948.0,https://media.api-sports.io/football/teams/535.png,Estadio La Rosaleda,Avenida de la Palmilla / Paseo de Martiricos,Málaga,30389.0,https://media.api-sports.io/football/venues/1483.png,77.0
SEVILLA,SEV,1890.0,https://media.api-sports.io/football/teams/536.png,Estadio Ramón Sánchez Pizjuán,Avenida de Eduardo Dato,Sevilla,48649.0,https://media.api-sports.io/football/venues/1494.png,135.0
LEGANES,LEG,1928.0,https://media.api-sports.io/football/teams/537.png,Estadio Municipal de Butarque,Calle Arquitectura,Leganés,12450.0,https://media.api-sports.io/football/venues/1464.png,97.0
CELTA VIGO,CEL,1923.0,https://media.api-sports.io/football/teams/538.png,Abanca-Balaídos,Avenida de Balaídos,Vigo,31800.0,https://media.api-sports.io/football/venues/1467.png,102.0
LEVANTE,LEV,1909.0,https://media.api-sports.io/football/teams/539.png,Estadio Ciudad de Valencia,Calle San Vicente de Paúl 44,Valencia,25534.0,https://media.api-sports.io/football/venues/1482.png,116.0
ESPANYOL,ESP,1900.0,https://media.api-sports.io/football/teams/540.png,Stage Front Stadium,Avenida Baix Llobregat 100,Cornella de Llobregat,40423.0,https://media.api-sports.io/football/venues/20421.png,125.0
REAL MADRID,REA,1902.0,https://media.api-sports.io/football/teams/541.png,Estadio Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín",Madrid,85454.0,https://media.api-sports.io/football/venues/1456.png,123.0
ALAVES,ALA,1921.0,https://media.api-sports.io/football/teams/542.png,Estadio de Mendizorroza,Paseo de Cervantes,Vitoria-Gasteiz,19840.0,https://media.api-sports.io/football/venues/1470.png,104.0
REAL BETIS,BET,1907.0,https://media.api-sports.io/football/teams/543.png,Estadio Benito Villamarín,Avenida de Heliópolis,Sevilla,60721.0,https://media.api-sports.io/football/venues/1489.png,118.0
DEPORTIVO LA CORUNA,COR,1906.0,https://media.api-sports.io/football/teams/544.png,Estadio Abanca-Riazor,Calle Manuel Murguía,La Coruña,34611.0,https://media.api-sports.io/football/venues/1471.png,119.0
EIBAR,EIB,1940.0,https://media.api-sports.io/football/teams/545.png,Estadio Municipal de Ipurúa,Calle de Ipurúa,Eibar,8050.0,https://media.api-sports.io/football/venues/1472.png,85.0
GETAFE,GET,1983.0,https://media.api-sports.io/football/teams/546.png,Estadio Coliseum,Avenida de Teresa de Calcuta,Getafe,17393.0,https://media.api-sports.io/football/venues/20422.png,42.0
GIRONA,GIR,1930.0,https://media.api-sports.io/football/teams/547.png,Estadi Municipal de Montilivi,Avenida Montlivi 141,Girona,14500.0,https://media.api-sports.io/football/venues/1478.png,95.0
REAL SOCIEDAD,RSO,1909.0,https://media.api-sports.io/football/teams/548.png,Reale Arena,Paseo de Anoeta 1,Donostia-San Sebastián,40000.0,https://media.api-sports.io/football/venues/1491.png,116.0
EUROPA FC,,1907.0,https://media.api-sports.io/football/teams/593.png,Camp Municipal de Futbol Nou Sardenya,"Carrer de Sardenya (Cerdeña), Gràcia",Barcelona,7000.0,https://media.api-sports.io/football/venues/1466.png,118.0
ALCORCON,ALC,1971.0,https://media.api-sports.io/football/teams/711.png,Estadio Santo Domingo,Avenida de Pablo Iglesias,Alcorcón,7000.0,https://media.api-sports.io/football/venues/1457.png,54.0
BARCELONA B,BAR,1899.0,https://media.api-sports.io/football/teams/712.png,Estadi Johan Cruyff,B-23,Sant Joan Despí,6000.0,https://media.api-sports.io/football/venues/2917.png,126.0
CORDOBA,COR,1954.0,https://media.api-sports.io/football/teams/713.png,Estadio Nuevo Arcángel,Avenida del Arcángel,Córdoba,21822.0,https://media.api-sports.io/football/venues/1469.png,71.0
GIMNASTIC,GIM,1914.0,https://media.api-sports.io/football/teams/714.png,Nou Estadi Costa Daurada,Camí del Llorito,Tarragona,16600.0,https://media.api-sports.io/football/venues/20300.png,111.0
GRANADA CF,GRA,1931.0,https://media.api-sports.io/football/teams/715.png,Estadio Nuevo Los Cármenes,Calle Pintor Manuel Maldonado,Granada,23156.0,https://media.api-sports.io/football/venues/1479.png,94.0
LUGO,LUG,1953.0,https://media.api-sports.io/football/teams/716.png,Estadio Anxo Carro,Avenida de los deportes,Lugo,8168.0,https://media.api-sports.io/football/venues/1465.png,72.0
NUMANCIA,NUM,1945.0,https://media.api-sports.io/football/teams/717.png,Nuevo Estadio Los Pajaritos,Avenida Mariano Vicen 16,Soria,9025.0,https://media.api-sports.io/football/venues/1485.png,80.0
OVIEDO,OVI,1926.0,https://media.api-sports.io/football/teams/718.png,Estadio Nuevo Carlos Tartiere,C. Isidro Lángara,Oviedo,30500.0,https://media.api-sports.io/football/venues/1490.png,99.0
TENERIFE,TEN,1922.0,https://media.api-sports.io/football/teams/719.png,Estadio Heliodoro Rodríguez Lopéz,Avenida de San Sebastián,Tenerife,23660.0,https://media.api-sports.io/football/venues/1496.png,103.0
VALLADOLID,VAL,1928.0,https://media.api-sports.io/football/teams/720.png,Estadio Municipal José Zorrilla,Avenida del Mundial 82,Valladolid,26512.0,https://media.api-sports.io/football/venues/1492.png,97.0
LORCA FC,,2003.0,https://media.api-sports.io/football/teams/721.png,Estadio Francisco Artés Carrasco,Carratera de Granada,Lorca,8120.0,https://media.api-sports.io/football/venues/2918.png,22.0
ALBACETE,ALB,1940.0,https://media.api-sports.io/football/teams/722.png,Estadio Carlos Belmonte,Avenida de España,Albacete,17524.0,https://media.api-sports.io/football/venues/1458.png,85.0
ALMERIA,ALM,1989.0,https://media.api-sports.io/football/teams/723.png,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Calle de Belladona,Almería,21350.0,https://media.api-sports.io/football/venues/19216.png,36.0
CADIZ,CAD,1910.0,https://media.api-sports.io/football/teams/724.png,Estadio Nuevo Mirandilla,Plaza de Madrid,Cádiz,22000.0,https://media.api-sports.io/football/venues/11915.png,115.0
CULTURAL LEONESA,CUL,1923.0,https://media.api-sports.io/football/teams/725.png,Estadio Municipal Reino de León,Paseo Sáenz de Miera,León,13451.0,https://media.api-sports.io/football/venues/2916.png,102.0
HUESCA,HUE,1922.0,https://media.api-sports.io/football/teams/726.png,Estadio El Alcoraz,Camino del Alto Cocorón,Huesca,9128.0,https://media.api-sports.io/football/venues/1480.png,103.0
OSASUNA,OSA,1920.0,https://media.api-sports.io/football/teams/727.png,Estadio El Sadar,Carretera El Sadar,Iruñea,23576.0,https://media.api-sports.io/football/venues/1486.png,105.0
RAYO VALLECANO,RAY,1924.0,https://media.api-sports.io/football/teams/728.png,Estadio de Vallecas,Calle Payaso Fofó,Madrid,15500.0,https://media.api-sports.io/football/venues/1488.png,101.0
REUS,REU,1909.0,https://media.api-sports.io/football/teams/729.png,Estadio Camp Nou Municipal,Calle Recasens i Mercadé 8,Reus,4847.0,https://media.api-sports.io/football/venues/1468.png,116.0
SEVILLA ATLETICO,SEV,,https://media.api-sports.io/football/teams/730.png,Estadio Jesús Navas,Carretera de Utrera,Sevilla,7000.0,https://media.api-sports.io/football/venues/2919.png,
