transaction_id,customer_id,product_id,store_id,timestamp,ts_str,ts_tz,quantity,amount,amount_str,discount_pct,discount_str,payment_method,status,device,channel,hi_value_flag
1,258,35,2,2025-05-11 15:46:46,2025-05-11 15:46:46,2025-05-11T15:46:46-05:00,4,770.88,$770.88,5,5%,wallet,completed,ios,mobile,1
2,208,62,16,2024-01-20 10:14:03,2024/01/20 10:14,2024-01-20T10:14:03-05:00,4,954.78,$954.78,10,10%,transfer,pending,web,desktop,1
3,115,5,20,2024-07-09 05:06:54,09/07/2024 05:06,2024-07-09T05:06:54-05:00,4,711.32,$711.32,10,10%,card,completed,android,mobile,1
4,288,33,16,2024-04-18 09:10:31,2024-04-18 09:10:31,2024-04-18T09:10:31-05:00,4,2887.96,"$2,887.96",10,10%,card,completed,web,desktop,1
5,66,2,9,2025-06-09 14:35:33,2025-06-09T14:35:33,2025-06-09T14:35:33-05:00,1,2.82,$2.82,0,0%,card,completed,ios,mobile,0
6,143,60,5,2024-03-08 12:39:26,2024-03-08T12:39:26,2024-03-08T12:39:26-05:00,4,271.74,$271.74,20,20%,card,pending,web,desktop,0
7,216,30,14,2024-11-23 17:11:34,2024-11-23 17:11:34,2024-11-23T17:11:34-05:00,3,695.14,$695.14,0,0%,card,completed,web,desktop,1
8,130,35,18,2024-01-24 03:27:37,2024-01-24 03:27:37,2024-01-24T03:27:37-05:00,4,857.59,$857.59,20,20%,cash,completed,web,desktop,1
9,95,14,1,2024-06-18 19:42:26,18/06/2024 19:42,2024-06-18T19:42:26-05:00,5,795.81,$795.81,25,25%,transfer,completed,web,desktop,1
10,25,68,13,2025-01-27 12:30:19,2025-01-27T12:30:19,2025-01-27T12:30:19-05:00,4,478.92,$478.92,0,0%,cash,pending,android,mobile,0
11,160,43,2,2024-01-21 14:39:58,2024-01-21T14:39:58,2024-01-21T14:39:58-05:00,4,132.91,$132.91,0,0%,cash,completed,web,desktop,0
12,267,50,15,2024-06-03 10:36:08,2024-06-03T10:36:08,2024-06-03T10:36:08-05:00,1,197.11,$197.11,0,0%,card,completed,web,desktop,0
13,263,16,1,2024-11-21 20:24:58,21/11/2024 20:24,2024-11-21T20:24:58-05:00,4,395.87,$395.87,0,0%,card,completed,web,desktop,0
14,124,38,7,2024-12-14 21:51:48,2024-12-14T21:51:48,2024-12-14T21:51:48-05:00,2,1306.99,"$1,306.99",20,20%,card,completed,web,desktop,1
15,92,14,7,2024-08-04 01:51:02,2024-08-04 01:51:02,2024-08-04T01:51:02-05:00,5,807.3,$807.30,25,25%,card,completed,web,desktop,1
16,230,21,10,2024-05-04 00:15:55,04-May-2024 00:15:55,2024-05-04T00:15:55-05:00,2,29.43,$29.43,10,10%,card,pending,ios,mobile,0
